word,normal_cnt,abnormal_cnt
国开行,152.0,1.0
发售,152.0,2.0
第二次,152.0,6.0
生态,152.0,2.0
案,152.0,7.0
河南,152.0,8.0
退市,151.0,1.0
做好,151.0,5.0
凸显,151.0,2.0
强势,151.0,8.0
每日,151.0,
获得,150.0,2.0
区,150.0,4.0
盘点,150.0,4.0
下行,150.0,6.0
日起,150.0,4.0
诉讼,150.0,5.0
中国工商银行,150.0,1.0
大事,150.0,1.0
合同,150.0,1.0
一览,149.0,1.0
公募,149.0,2.0
低估值,149.0,5.0
变化,149.0,
超短期融资券,149.0,3.0
盘中,149.0,15.0
二级资本债券,149.0,1.0
释放,148.0,2.0
重要公告集锦,148.0,1.0
早盘,148.0,5.0
回升,148.0,4.0
微信,148.0,5.0
对接,148.0,5.0
蚂蚁,148.0,
重点关注,148.0,2.0
刚刚,148.0,1.0
目标,148.0,
中国农业银行,147.0,6.0
应对,147.0,1.0
快速,146.0,9.0
奖,146.0,1.0
沪指,146.0,10.0
中信证券,146.0,1.0
透视,145.0,
领,145.0,2.0
加强,145.0,3.0
定投,145.0,5.0
批准,145.0,3.0
中国光大银行,145.0,7.0
承销,145.0,3.0
通知,144.0,2.0
更新招募说明书摘要,144.0,
八成,144.0,8.0
数量,144.0,5.0
泰,144.0,2.0
宇宙,144.0,
线,144.0,
征信,144.0,3.0
世界,144.0,1.0
路上,143.0,1.0
拨备覆盖率,143.0,
领涨,143.0,5.0
去,142.0,1.0
消息,142.0,1.0
主要,142.0,1.0
原因,142.0,4.0
负债,141.0,1.0
金融市场,141.0,3.0
标准,141.0,4.0
代销机构,140.0,2.0
贵公司,140.0,1.0
巨头,140.0,8.0
中报,140.0,
存,140.0,2.0
结构,140.0,1.0
金融股,140.0,3.0
全年,140.0,2.0
格局,139.0,2.0
深化,139.0,4.0
走高,139.0,5.0
以来,139.0,2.0
总额,139.0,3.0
最佳,139.0,2.0
股本,139.0,7.0
境内,139.0,
借款,139.0,1.0
应,139.0,1.0
知道,138.0,3.0
新能源,138.0,1.0
微企业复工复产,138.0,
功能,138.0,3.0
存在,138.0,2.0
新规,138.0,2.0
稳外贸,138.0,
榜,138.0,5.0
公开,137.0,6.0
挑战,137.0,2.0
消金,137.0,5.0
王,137.0,2.0
